id,folder,file,action,current_value,new_value,sheetF
deploying-custom-models-to-snowflake-model-registry,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/deploying-custom-models-to-snowflake-model-registry,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/deploying-custom-models-to-snowflake-model-registry/deploying-custom-models-to-snowflake-model-registry.md,add,,https://github.com/Snowflake-Labs/sfguide-getting-started-with-iceberg-tables-tasty-bytes,https://www.snowflake.com/en/developers/guides/deploying-custom-models-to-snowflake-model-registry/
getting-started-with-cortex-analyst,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/getting-started-with-cortex-analyst,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/getting-started-with-cortex-analyst/getting-started-with-cortex-analyst.md,add,,https://github.com/Snowflake-Labs/sfguide-getting-started-with-cortex-analyst,https://www.snowflake.com/en/developers/guides/getting-started-with-cortex-analyst/
getting-started-with-time-series-analytics-with-pricing-data-on-snowflake,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/getting-started-with-time-series-analytics-with-pricing-data-on-snowflake,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/getting-started-with-time-series-analytics-with-pricing-data-on-snowflake/getting-started-with-time-series-analytics-with-pricing-data-on-snowflake.md,add,,https://github.com/Snowflake-Labs/sfguide-getting-started-with-time-series-analytics-using-sql,https://www.snowflake.com/en/developers/guides/getting-started-with-time-series-analytics-with-pricing-data-on-snowflake/
monitor-schema-drift-in-data-shares-with-sharewatch,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/monitor-schema-drift-in-data-shares-with-sharewatch,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/monitor-schema-drift-in-data-shares-with-sharewatch/monitor-schema-drift-in-data-shares-with-sharewatch.md,add,,https://github.com/Snowflake-Labs/sfguide-monitor-schema-drift-in-data-shares-with-sharewatch,https://www.snowflake.com/en/developers/guides/monitor-schema-drift-in-data-shares-with-sharewatch/
credit-card-fraud-detection-using-snowflake-ml,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/credit-card-fraud-detection-using-snowflake-ml,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/credit-card-fraud-detection-using-snowflake-ml/credit-card-fraud-detection-using-snowflake-ml.md,add,,https://github.com/Snowflake-Labs/sfguide-credit-card-fraud-detection-using-snowflakeml,https://www.snowflake.com/en/developers/guides/credit-card-fraud-detection-using-snowflake-ml/
notebook-container-runtime,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/notebook-container-runtime,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/notebook-container-runtime/notebook-container-runtime.md,add,,https://github.com/Snowflake-Labs/sfguide-getting-started-with-snowflake-notebook-container-runtime,https://www.snowflake.com/en/developers/guides/notebook-container-runtime/
intro-to-feature-store,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/intro-to-feature-store,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/intro-to-feature-store/intro-to-feature-store.md,add,,https://github.com/Snowflake-Labs/sfguide-intro-to-feature-store-using-snowflake-notebooks,https://www.snowflake.com/en/developers/guides/intro-to-feature-store/
train-an-xgboost-model-with-gpus-using-snowflake-notebooks,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/train-an-xgboost-model-with-gpus-using-snowflake-notebooks,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/train-an-xgboost-model-with-gpus-using-snowflake-notebooks/train-an-xgboost-model-with-gpus-using-snowflake-notebooks.md,add,,https://github.com/Snowflake-Labs/sfguide-train-xgboost-model-using-gpus-using-snowflake-notebooks,https://www.snowflake.com/en/developers/guides/train-an-xgboost-model-with-gpus-using-snowflake-notebooks/
visual-data-stories-with-snowflake-notebooks,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/visual-data-stories-with-snowflake-notebooks,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/visual-data-stories-with-snowflake-notebooks/visual-data-stories-with-snowflake-notebooks.md,add,,https://github.com/Snowflake-Labs/sfguide-visual-data-storytelling-in-snowflake-notebooks,https://www.snowflake.com/en/developers/guides/visual-data-stories-with-snowflake-notebooks/
getting-started-with-snowflake-notebooks,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/getting-started-with-snowflake-notebooks,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/getting-started-with-snowflake-notebooks/getting-started-with-snowflake-notebooks.md,add,,https://github.com/Snowflake-Labs/sfguide-getting-started-with-snowflake-notebooks,https://www.snowflake.com/en/developers/guides/getting-started-with-snowflake-notebooks/
getting-started-with-snowpark-in-snowflake-python-worksheets,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/getting-started-with-snowpark-in-snowflake-python-worksheets,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/getting-started-with-snowpark-in-snowflake-python-worksheets/getting-started-with-snowpark-in-snowflake-python-worksheets.md,add,,https://github.com/Snowflake-Labs/sfguide-getting-started-with-snowpark-in-snowflake-python-worksheets,https://www.snowflake.com/en/developers/guides/getting-started-with-snowpark-in-snowflake-python-worksheets/
medical-images-classification-using-pytorch,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/medical-images-classification-using-pytorch,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/medical-images-classification-using-pytorch/medical-images-classification-using-pytorch.md,add,,https://github.com/Snowflake-Labs/sfguide-medical-images-classification-using-pytorch,https://www.snowflake.com/en/developers/guides/medical-images-classification-using-pytorch/
getting-started-with-running-distributed-pytorch-models-on-snowflake,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/getting-started-with-running-distributed-pytorch-models-on-snowflake,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/getting-started-with-running-distributed-pytorch-models-on-snowflake/getting-started-with-running-distributed-pytorch-models-on-snowflake.md,add,,https://github.com/Snowflake-Labs/sfguide-getting-started-with-running-distributed-pytorch-models-on-snowflake,https://www.snowflake.com/en/developers/guides/getting-started-with-running-distributed-pytorch-models-on-snowflake/
end-to-end-analytics-with-snowflake-and-power-bi,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/end-to-end-analytics-with-snowflake-and-power-bi,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/end-to-end-analytics-with-snowflake-and-power-bi/end-to-end-analytics-with-snowflake-and-power-bi.md,add,,https://github.com/Snowflake-Labs/sfguide-end-to-end-analytics-with-snowflake-and-power-bi,https://www.snowflake.com/en/developers/guides/end-to-end-analytics-with-snowflake-and-power-bi/
llm-assisted-medical-coding-extraction-for-healthcare,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/llm-assisted-medical-coding-extraction-for-healthcare,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/llm-assisted-medical-coding-extraction-for-healthcare/llm-assisted-medical-coding-extraction-for-healthcare.md,add,,https://github.com/Snowflake-Labs/sfguide-llm-assisted-medical-coding-extraction-for-healthcare-in-snowflake,https://www.snowflake.com/en/developers/guides/llm-assisted-medical-coding-extraction-for-healthcare/
root-cause-analysis-for-vehicle-product-quality-with-snowflake,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/root-cause-analysis-for-vehicle-product-quality-with-snowflake,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/root-cause-analysis-for-vehicle-product-quality-with-snowflake/root-cause-analysis-for-vehicle-product-quality-with-snowflake.md,add,,https://github.com/Snowflake-Labs/sfguide-root-cause-analysis-for-vehicle-product-quality-with-snowflake,https://www.snowflake.com/en/developers/guides/root-cause-analysis-for-vehicle-product-quality-with-snowflake/
getting-started-with-ml-observability-in-snowflake,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/getting-started-with-ml-observability-in-snowflake,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/getting-started-with-ml-observability-in-snowflake/getting-started-with-ml-observability-in-snowflake.md,add,,https://github.com/Snowflake-Labs/sfguide-getting-started-with-ml-observability-in-snowflake,https://www.snowflake.com/en/developers/guides/getting-started-with-ml-observability-in-snowflake/
getting-started-with-player-360-unlocking-churn-prediction-and-game-optimization,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/getting-started-with-player-360-unlocking-churn-prediction-and-game-optimization,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/getting-started-with-player-360-unlocking-churn-prediction-and-game-optimization/getting-started-with-player-360-unlocking-churn-prediction-and-game-optimization.md,add,,https://github.com/Snowflake-Labs/sfguide-getting-started-with-player-360-unlocking-churn-prediction-and-game-optimization,https://www.snowflake.com/en/developers/guides/getting-started-with-player-360-unlocking-churn-prediction-and-game-optimization/
getting-started-with-ocr-and-rag-with-snowflake-notebooks,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/getting-started-with-ocr-and-rag-with-snowflake-notebooks,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/getting-started-with-ocr-and-rag-with-snowflake-notebooks/getting-started-with-ocr-and-rag-with-snowflake-notebooks.md,add,,https://github.com/Snowflake-Labs/sfguide-getting-started-with-ocr-rag-with-snowflake-notebooks,https://www.snowflake.com/en/developers/guides/getting-started-with-ocr-and-rag-with-snowflake-notebooks/
marketing-data-foundation-starter-v3,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/marketing-data-foundation-starter-v3,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/marketing-data-foundation-starter-v3/marketing-data-foundation-starter-v3.md,add,,https://github.com/Snowflake-Labs/sfguide-marketing-data-foundation-starter-v3,https://www.snowflake.com/en/developers/guides/marketing-data-foundation-starter-v3/
marketing-data-foundation-starter-v3,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/marketing-data-foundation-starter-v3,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/marketing-data-foundation-starter-v3/marketing-data-foundation-starter-v3.md,add,,https://github.com/Snowflake-Labs/sfguide-marketing-data-foundation-starter-v3,https://www.snowflake.com/en/developers/guides/marketing-data-foundation-starter-v3/
getting-started-with-amazon-q-business-and-cortex,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/getting-started-with-amazon-q-business-and-cortex,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/getting-started-with-amazon-q-business-and-cortex/getting-started-with-amazon-q-business-and-cortex.md,add,,https://github.com/Snowflake-Labs/sfguide-getting-started-with-amazon-q-for-business-and-cortex,https://www.snowflake.com/en/developers/guides/getting-started-with-amazon-q-business-and-cortex/
s-and-p-market-intelligence-analyze-earnings-transcripts-in-cortex-ai,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/s-and-p-market-intelligence-analyze-earnings-transcripts-in-cortex-ai,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/s-and-p-market-intelligence-analyze-earnings-transcripts-in-cortex-ai/s-and-p-market-intelligence-analyze-earnings-transcripts-in-cortex-ai.md,add,,https://github.com/Snowflake-Labs/sfguide-s-and-p-market-intelligence-analyze-earnings-transcripts-in-cortex-ai,https://www.snowflake.com/en/developers/guides/s-and-p-market-intelligence-analyze-earnings-transcripts-in-cortex-ai/
build-a-visual-idea-generator-with-text-to-image-models,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/build-a-visual-idea-generator-with-text-to-image-models,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/build-a-visual-idea-generator-with-text-to-image-models/build-a-visual-idea-generator-with-text-to-image-models.md,add,,https://github.com/Snowflake-Labs/sfguide-build-a-visual-idea-generator-with-text-to-image-models,https://www.snowflake.com/en/developers/guides/build-a-visual-idea-generator-with-text-to-image-models/
getting-started-with-ai-observability,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/getting-started-with-ai-observability,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/getting-started-with-ai-observability/getting-started-with-ai-observability.md,add,,https://github.com/Snowflake-Labs/sfguide-getting-started-with-ai-observability,https://www.snowflake.com/en/developers/guides/getting-started-with-ai-observability/
getting-started-with-prophet-using-snowflake-ml,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/getting-started-with-prophet-using-snowflake-ml,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/getting-started-with-prophet-using-snowflake-ml/getting-started-with-prophet-using-snowflake-ml.md,add,,https://github.com/Snowflake-Labs/sfguide-getting-started-with-prophet-using-snowflake-ml,https://www.snowflake.com/en/developers/guides/getting-started-with-prophet-using-snowflake-ml/
build-ml-models-for-customer-conversions,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/build-ml-models-for-customer-conversions,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/build-ml-models-for-customer-conversions/build-ml-models-for-customer-conversions.md,add,,https://github.com/Snowflake-Labs/sfguide-build-ml-models-for-customer-conversions,https://www.snowflake.com/en/developers/guides/build-ml-models-for-customer-conversions/
getting-started-with-distributed-multi-node-multi-gpu-audio-transcription-with-snowflake-ml-container-runtime,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/getting-started-with-distributed-multi-node-multi-gpu-audio-transcription-with-snowflake-ml-container-runtime,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/getting-started-with-distributed-multi-node-multi-gpu-audio-transcription-with-snowflake-ml-container-runtime/getting-started-with-distributed-multi-node-multi-gpu-audio-transcription-with-snowflake-ml-container-runtime.md,add,,https://github.com/Snowflake-Labs/sfguide-distributed-multi-node-multi-gpu-audio-transcription-with-snowflake-ml-container-runtime,https://www.snowflake.com/en/developers/guides/getting-started-with-distributed-multi-node-multi-gpu-audio-transcription-with-snowflake-ml-container-runtime/
extracting-insights-from-video-with-multimodal-ai-analysis,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/extracting-insights-from-video-with-multimodal-ai-analysis,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/extracting-insights-from-video-with-multimodal-ai-analysis/extracting-insights-from-video-with-multimodal-ai-analysis.md,add,,https://github.com/Snowflake-Labs/sfguide-extracting-insights-from-video-with-multimodal-ai-analysis,https://www.snowflake.com/en/developers/guides/extracting-insights-from-video-with-multimodal-ai-analysis/
unlock-insights-from-unstructured-data-with-snowflake-cortex-ai,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/unlock-insights-from-unstructured-data-with-snowflake-cortex-ai,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/unlock-insights-from-unstructured-data-with-snowflake-cortex-ai/unlock-insights-from-unstructured-data-with-snowflake-cortex-ai.md,add,,https://github.com/Snowflake-Labs/sfguide-unlock-insights-from-unstructured-data-with-snowflake-cortex-ai,https://www.snowflake.com/en/developers/guides/unlock-insights-from-unstructured-data-with-snowflake-cortex-ai/
getting-started-with-automl-openfe-and-autogluon,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/getting-started-with-automl-openfe-and-autogluon,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/getting-started-with-automl-openfe-and-autogluon/getting-started-with-automl-openfe-and-autogluon.md,add,,https://github.com/Snowflake-Labs/sfguide-getting-started-with-automl-openfe-and-autogluon,https://www.snowflake.com/en/developers/guides/getting-started-with-automl-openfe-and-autogluon/
building-retail-analytics-de-pipeline,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/building-retail-analytics-de-pipeline,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/building-retail-analytics-de-pipeline/building-retail-analytics-de-pipeline.md,add,,https://github.com/Snowflake-Labs/sfguide-building-retail-analytics-de-pipeline,https://www.snowflake.com/en/developers/guides/building-retail-analytics-de-pipeline/
getting-started-with-bedrock-agentcore-gateways-and-cortex-agents,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/getting-started-with-bedrock-agentcore-gateways-and-cortex-agents,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/getting-started-with-bedrock-agentcore-gateways-and-cortex-agents/getting-started-with-bedrock-agentcore-gateways-and-cortex-agents.md,add,,https://github.com/Snowflake-Labs/sfguide-getting-started-with-bedrock-agentcore-gateways-and-cortex-agents,https://www.snowflake.com/en/developers/guides/getting-started-with-bedrock-agentcore-gateways-and-cortex-agents/
snow-bear-leveraging-cortex-for-advanced-analytics,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/snow-bear-leveraging-cortex-for-advanced-analytics,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/snow-bear-leveraging-cortex-for-advanced-analytics/snow-bear-leveraging-cortex-for-advanced-analytics.md,add,,https://github.com/Snowflake-Labs/sfguide-snow-bear-fan-experience-analytics-leveraging-cortex,https://www.snowflake.com/en/developers/guides/snow-bear-leveraging-cortex-for-advanced-analytics/
cortex-ai-demo-framework,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/cortex-ai-demo-framework,/Users/kanwal.komailsnowflake.com/Documents/GitHub/sfquickstarts_fork/site/sfguides/src/cortex-ai-demo-framework/cortex-ai-demo-framework.md,add,,https://github.com/Snowflake-Labs/sfguide-getting-started-with-cortex-ai-demo-framework,https://www.snowflake.com/en/developers/guides/cortex-ai-demo-framework/
