id,age,gender,income,spending_score,membership_years,purchase_frequency,preferred_category,last_purchase_amount
1,-38,Female,99342,90,3,24,Groceries,113.53
2,-21,Female,78852,60,2,42,Sports,41.93
3,60,Female,126573,30,2,28,Clothing,424.36
4,40,Other,47099,74,9,5,Home & Garden,991.93
5,65,Female,140621,21,3,25,Electronics,347.08
6,31,Other,57305,24,3,30,Home & Garden,86.85
7,19,Other,54319,68,5,43,Clothing,191.72
8,43,Male,108115,94,9,27,Groceries,734.56
9,53,Male,34424,29,6,7,Sports,951.71
10,55,Female,45839,55,7,2,Electronics,821.18
11,23,Other,69659,16,7,24,Clothing,434.97
12,68,Other,30058,91,1,49,Groceries,889.94
13,29,Female,87461,81,3,27,Home & Garden,101.07
14,64,Other,33018,46,4,3,Sports,221.35
15,33,Male,112260,17,5,8,Home & Garden,915.89
16,53,Male,129284,17,6,26,Clothing,225.4
17,57,Male,102535,29,5,13,Clothing,378.47
18,22,Male,41849,22,1,31,Sports,844.08
19,37,Male,95491,90,6,21,Home & Garden,454.83
20,31,Male,97103,70,3,17,Groceries,61.3
21,19,Female,82519,13,4,4,Home & Garden,742.39
22,22,Male,49077,74,10,47,Home & Garden,799.31
23,36,Other,85473,68,1,16,Sports,806.55
24,41,Other,81758,87,7,9,Clothing,482.2
25,69,Female,36140,78,5,39,Sports,508.86
26,33,Other,141757,60,10,39,Groceries,83.27
27,54,Male,35394,10,9,4,Groceries,124.29
28,30,Female,50680,19,7,27,Sports,515.88
29,18,Female,70721,78,7,1,Home & Garden,191.9
30,23,Male,104106,30,4,20,Electronics,950.56
31,36,Other,76756,16,8,27,Clothing,970.06
32,60,Female,45733,69,2,18,Electronics,197.29
33,29,Male,71951,2,6,47,Electronics,91.94
34,44,Other,86593,89,4,37,Groceries,76.95
35,45,Other,43138,54,10,48,Sports,639.22
36,30,Female,73464,37,1,6,Clothing,532.51
37,47,Male,108074,78,4,38,Electronics,128.2
38,48,Other,81794,89,7,50,Electronics,967.99
39,31,Female,75392,43,4,29,Sports,88.44
40,22,Male,107057,14,5,41,Home & Garden,98.86
41,23,Male,70723,31,1,48,Home & Garden,713.33
42,52,Male,115529,70,2,34,Clothing,192.66
43,35,Male,72179,6,6,45,Home & Garden,165.18
44,28,Other,62405,79,5,50,Home & Garden,956.73
45,50,Male,42404,45,4,31,Home & Garden,753.6
46,49,Other,94531,28,5,42,Clothing,214.93
47,56,Male,129005,40,6,8,Electronics,355.34
48,48,Male,76317,94,9,3,Electronics,189.28
49,19,Other,85309,65,5,10,Sports,28.55
50,68,Female,146519,96,2,18,Groceries,673.79
51,61,Female,61290,83,9,35,Clothing,110.32
52,24,Female,96082,83,4,36,Sports,589.35
53,45,Other,134241,73,9,16,Groceries,893.44
54,33,Female,45136,84,9,38,Home & Garden,332.34
55,56,Female,85476,55,2,41,Sports,774.5
56,42,Other,73466,50,4,13,Sports,903.07
57,63,Other,49607,7,9,20,Electronics,195.34
58,49,Female,112198,48,5,24,Sports,843.87
59,43,Female,81595,12,7,1,Electronics,806.26
60,21,Female,139387,1,5,7,Clothing,399.58
61,23,Male,69133,14,6,7,Groceries,224.86
62,30,Other,89149,87,10,36,Clothing,174.41
63,49,Female,79992,49,8,6,Sports,636.65
64,50,Female,85111,31,1,19,Electronics,319.05
65,27,Other,90557,36,2,2,Sports,494.55
66,32,Male,100270,69,3,29,Home & Garden,686.05
67,36,Female,127346,75,5,7,Electronics,335.98
68,43,Female,87807,52,9,41,Clothing,95.08
69,32,Male,135861,88,5,16,Electronics,103.33
70,49,Other,40936,32,9,49,Sports,495.62
71,23,Female,66376,60,1,18,Electronics,77.73
72,58,Other,56120,30,3,50,Groceries,880.23
73,31,Female,112452,21,1,5,Groceries,552.21
74,38,Female,102944,63,8,9,Home & Garden,92.69
75,58,Other,143037,56,8,42,Groceries,57.57
76,60,Female,131101,68,8,28,Home & Garden,522.95
77,49,Male,30708,4,1,36,Groceries,990
78,32,Other,44048,20,7,10,Clothing,41.55
79,30,Other,95501,27,3,14,Groceries,476.25
80,68,Other,45092,54,4,40,Electronics,738.6
81,65,Other,117157,90,9,39,Electronics,812.36
82,36,Female,148542,60,1,17,Groceries,15.66
83,36,Female,99427,94,8,15,Sports,265.04
84,56,Male,58971,77,9,35,Electronics,13.16
85,19,Male,101100,43,3,14,Clothing,392.36
86,31,Other,61849,24,6,31,Home & Garden,120.8
87,59,Male,47990,3,10,48,Home & Garden,755.92
88,31,Male,55100,20,7,31,Sports,59.84
89,18,Other,105470,8,7,4,Clothing,746.18
90,45,Other,63381,80,4,8,Home & Garden,754.24
91,32,Other,92089,16,1,47,Home & Garden,209.86
92,39,Other,104031,67,6,28,Home & Garden,930.36
93,65,Male,62792,83,8,11,Electronics,230.58
94,46,Other,113116,7,10,13,Clothing,190.55
95,30,Other,75926,97,10,19,Sports,670.87
96,23,Male,108480,46,10,21,Clothing,377.31
97,63,Other,102834,31,7,20,Electronics,582.57
98,49,Male,46695,99,9,26,Clothing,674.7
99,21,Other,105024,45,3,32,Sports,795.84
100,26,Female,59496,58,2,50,Clothing,23.33
101,40,Female,115569,1,2,5,Groceries,241.91
102,18,Male,49346,70,7,38,Groceries,127.14
103,19,Male,75430,50,7,32,Clothing,532.51
104,60,Female,142407,4,2,1,Sports,29.58
105,20,Other,34982,7,2,45,Clothing,597.15
106,55,Female,147187,37,7,27,Electronics,941.67
107,19,Other,37993,59,6,30,Sports,873.8
108,65,Male,81753,72,9,21,Home & Garden,633.63
109,57,Female,81695,90,8,44,Electronics,179.8
110,56,Female,40676,86,7,38,Home & Garden,627.65
111,37,Male,111242,33,5,34,Sports,756.32
112,64,Male,87006,85,7,20,Clothing,930.73
113,58,Male,82856,33,7,20,Groceries,450.72
114,32,Male,35514,4,5,36,Sports,415.44
115,64,Male,87595,11,5,21,Electronics,69.78
116,59,Male,125014,89,7,42,Home & Garden,451.82
117,62,Male,128322,44,4,31,Electronics,668.91
118,62,Male,48693,36,9,44,Home & Garden,755.67
119,33,Male,113154,75,8,46,Groceries,895.58
120,68,Female,78309,12,2,49,Clothing,848.14
121,47,Female,112072,50,5,21,Groceries,884.19
122,43,Male,42855,66,6,23,Electronics,138.51
123,26,Other,55515,29,9,37,Sports,50.57
124,30,Male,51454,94,8,17,Home & Garden,553.35
125,66,Other,69362,58,1,23,Clothing,960.08
126,26,Female,69795,60,9,29,Electronics,389.37
127,58,Male,32860,90,5,18,Sports,405.05
128,40,Other,81037,70,10,45,Electronics,370.75
129,67,Other,40385,64,1,17,Sports,957.06
130,61,Female,131607,25,7,26,Clothing,714.15
131,51,Male,42337,70,9,28,Sports,914.97
132,67,Female,116124,78,10,28,Home & Garden,11.29
133,25,Other,94016,85,8,49,Groceries,764.28
134,26,Male,62131,91,6,18,Sports,70.56
135,29,Female,100290,85,8,29,Clothing,480.87
136,31,Male,145261,25,10,37,Sports,378.4
137,48,Male,81763,49,6,46,Sports,179.25
138,67,Female,120561,66,2,21,Clothing,798.2
139,18,Female,99638,33,8,23,Groceries,316.27
140,18,Female,78097,84,3,26,Clothing,453.34
141,23,Other,67237,85,9,40,Electronics,673.02
142,37,Male,61695,13,5,45,Home & Garden,18.49
143,55,Other,101084,73,9,24,Groceries,624.81
144,41,Female,82613,49,3,10,Home & Garden,421.24
145,44,Other,122987,29,10,25,Electronics,898.68
146,58,Other,90389,17,5,12,Electronics,855.21
147,69,Male,90929,2,10,29,Electronics,518.7
148,47,Female,104517,91,2,6,Home & Garden,979.41
149,34,Other,79949,89,3,19,Groceries,273.34
150,54,Male,100745,29,6,42,Clothing,335.15
151,55,Other,138064,86,5,22,Electronics,368.75
152,45,Female,79721,20,1,1,Home & Garden,215.41
153,43,Male,33030,61,8,40,Groceries,711.04
154,30,Other,78653,43,4,2,Electronics,933.73
155,53,Other,146312,58,2,32,Electronics,880.78
156,24,Female,103766,77,4,25,Home & Garden,663.21
157,69,Female,51990,59,2,37,Clothing,762.41
158,61,Other,46738,36,3,26,Groceries,393.6
159,58,Other,107818,70,5,24,Home & Garden,722.18
160,36,Other,83511,28,5,49,Home & Garden,367.97
161,69,Female,117782,18,1,15,Sports,762.55
162,64,Other,122472,75,1,17,Sports,771.33
163,45,Male,76259,72,5,41,Sports,228.88
164,60,Other,98771,37,8,42,Sports,520.37
165,64,Other,96494,10,4,47,Home & Garden,184.45
166,41,Female,48155,19,10,36,Groceries,566.65
167,18,Other,46707,61,10,16,Clothing,18.6
168,36,Other,87275,82,9,2,Clothing,14.52
169,51,Female,58930,95,5,33,Sports,115.09
170,37,Male,33987,60,8,39,Groceries,975.1
171,21,Male,140801,13,3,43,Home & Garden,82.88
172,19,Male,98446,25,4,34,Groceries,696.59
173,56,Female,111754,96,8,38,Home & Garden,631.06
174,47,Other,66932,89,5,9,Home & Garden,861.66
175,33,Female,81766,86,1,16,Sports,160.11
176,34,Male,79572,62,2,24,Sports,843.15
177,65,Other,123680,30,2,35,Electronics,218.74
178,67,Female,130300,75,5,27,Electronics,94.32
179,45,Female,102050,57,8,39,Groceries,263.93
180,48,Male,121325,30,3,35,Home & Garden,624.36
181,49,Male,76202,83,3,6,Groceries,208.79
182,40,Male,136323,36,6,25,Electronics,625.28
183,43,Female,32512,95,4,49,Home & Garden,223.39
184,27,Male,63313,8,10,42,Groceries,35.01
185,41,Female,104337,91,6,27,Home & Garden,401.63
186,40,Other,124138,84,10,41,Groceries,426.62
187,35,Male,137307,32,6,24,Electronics,111.27
188,55,Male,77060,14,2,16,Sports,286.79
189,45,Male,108335,62,1,35,Electronics,940.93
190,41,Other,59408,68,1,16,Electronics,504.16
191,35,Male,100208,80,2,27,Electronics,23.73
192,63,Other,109506,48,10,50,Electronics,26.85
193,69,Female,39509,10,6,27,Groceries,377.66
194,69,Male,74519,95,10,42,Clothing,931.51
195,67,Other,31806,79,8,13,Electronics,261.07
196,48,Male,108550,5,6,35,Home & Garden,410.05
197,34,Female,56125,66,10,26,Home & Garden,610.66
198,39,Male,116566,76,9,21,Groceries,32.38
199,45,Female,82014,30,10,15,Groceries,81.91
200,63,Female,113240,47,9,22,Clothing,279.96
201,45,Male,111788,28,9,49,Groceries,628.43
202,25,Male,30570,16,8,44,Sports,971.09
203,66,Other,106631,41,6,9,Home & Garden,354.46
204,49,Male,100258,53,6,27,Home & Garden,436.43
205,27,Male,132541,78,8,42,Electronics,825.01
206,34,Male,97962,18,3,19,Electronics,947.73
207,58,Male,48714,75,10,40,Sports,324.91
208,59,Female,70050,62,3,10,Clothing,49.53
209,60,Female,124416,24,5,39,Home & Garden,544.04
210,47,Other,93783,24,10,3,Electronics,406.56
211,40,Female,83445,89,7,11,Clothing,356.35
212,18,Other,54421,20,1,41,Home & Garden,215.95
213,47,Female,121498,29,9,28,Sports,706.37
214,33,Male,84883,43,2,49,Home & Garden,956.03
215,69,Other,127086,93,4,45,Electronics,339.9
216,26,Other,133538,27,5,46,Electronics,761.08
217,46,Female,82034,19,2,45,Sports,635.93
218,55,Female,147024,24,9,16,Electronics,169.79
219,57,Male,33009,82,9,24,Clothing,563.64
220,69,Male,142216,90,7,29,Electronics,559.73
221,62,Male,82623,51,8,37,Clothing,155.14
222,67,Other,64134,3,2,26,Clothing,868.18
223,53,Female,146546,12,6,45,Sports,915.02
224,51,Female,33665,12,2,2,Groceries,139.07
225,54,Female,92156,18,7,14,Electronics,238.87
226,19,Female,51355,48,8,28,Home & Garden,278.21
227,65,Male,89274,71,10,34,Electronics,840.45
228,53,Male,57651,27,7,16,Home & Garden,345.62
229,19,Other,52470,90,5,35,Groceries,515.99
230,56,Male,31154,40,4,25,Electronics,197.54
231,24,Female,147572,44,7,45,Electronics,204.27
232,66,Male,144573,41,7,24,Groceries,66.6
233,41,Female,88312,22,6,31,Groceries,212.53
234,29,Female,96066,45,7,24,Sports,479.36
235,19,Female,41542,21,1,22,Groceries,132.88
236,42,Other,66495,79,9,31,Sports,537.66
237,62,Other,52480,22,3,14,Electronics,821.42
238,64,Other,148368,19,4,23,Groceries,949.32
239,64,Female,124599,41,9,41,Groceries,924.18
240,44,Female,121975,33,6,27,Groceries,640.96
241,41,Female,41748,50,8,5,Sports,35.16
242,31,Female,125501,74,3,18,Electronics,947.76
243,25,Other,109583,6,4,30,Electronics,923.64
244,47,Female,108356,84,6,19,Home & Garden,911
245,28,Other,134414,19,5,15,Home & Garden,922.01
246,44,Male,83880,31,6,32,Electronics,464.42
247,54,Other,48896,28,9,25,Sports,244.79
248,28,Other,48383,57,8,35,Sports,17.97
249,54,Female,134743,98,9,42,Sports,894.21
250,47,Male,91491,52,5,10,Home & Garden,21.43
251,43,Male,89688,27,10,30,Electronics,223.64
252,25,Other,105185,70,2,37,Groceries,556.23
253,49,Other,129014,25,7,21,Groceries,271.52
254,66,Other,112847,98,9,44,Home & Garden,827.44
255,27,Other,139589,69,8,22,Clothing,150.58
256,46,Other,38785,55,9,22,Clothing,486.25
257,26,Male,134203,19,3,28,Sports,935.64
258,37,Other,86856,74,3,10,Electronics,624.29
259,68,Male,49725,59,2,35,Groceries,12.36
260,39,Female,56381,82,6,19,Sports,759.6
261,39,Other,117432,96,7,41,Sports,25.44
262,60,Other,45827,18,2,47,Electronics,599.66
263,64,Other,115366,68,9,28,Electronics,934.88
264,57,Female,31451,75,3,8,Electronics,611.79
265,63,Male,142287,77,10,44,Clothing,785.29
266,53,Other,84616,68,10,8,Home & Garden,543.31
267,57,Female,114972,42,9,12,Home & Garden,999.74
268,23,Other,101024,29,3,41,Groceries,484.85
269,33,Female,118116,100,9,48,Sports,21.9
270,28,Female,49020,75,9,49,Electronics,109.03
271,69,Male,47458,14,2,10,Groceries,874.32
272,52,Female,104033,6,5,15,Clothing,192.31
273,47,Other,84117,74,9,17,Home & Garden,886.08
274,60,Other,107232,68,4,48,Clothing,730.8
275,22,Other,128623,88,5,20,Clothing,609.57
276,39,Female,39931,43,1,28,Groceries,261.36
277,53,Other,94392,38,5,11,Clothing,997.24
278,63,Male,48225,24,6,14,Clothing,764.05
279,47,Other,95656,63,2,30,Electronics,634.19
280,53,Female,61826,96,1,14,Clothing,577
281,61,Other,47689,46,4,42,Home & Garden,802.44
282,34,Male,68250,9,10,26,Clothing,835.06
283,33,Male,113187,27,9,46,Electronics,886.3
284,43,Male,77006,27,3,36,Electronics,223.98
285,63,Female,121652,20,1,26,Sports,169.58
286,51,Male,124670,66,2,43,Clothing,184.8
287,31,Male,119460,69,2,22,Clothing,486.21
288,56,Male,117922,69,2,41,Home & Garden,98.83
289,38,Male,84577,70,7,27,Sports,631.28
290,43,Male,64136,61,1,19,Electronics,680.92
291,45,Female,57845,32,6,41,Clothing,934.34
292,62,Other,38250,63,5,22,Home & Garden,723.93
293,45,Other,54819,72,3,47,Sports,553.44
294,47,Other,89077,43,1,35,Clothing,547.85
295,18,Other,135713,79,7,18,Electronics,871.12
296,56,Other,129611,23,3,48,Sports,98.85
297,40,Male,97995,47,4,9,Sports,101.35
298,39,Male,132488,40,5,37,Sports,82.16
299,59,Male,36383,5,6,31,Groceries,82.77
300,55,Other,144624,38,2,23,Groceries,652.26
301,52,Female,106147,2,6,19,Groceries,412.65
302,50,Other,130668,39,5,25,Home & Garden,69.81
303,59,Female,57745,33,7,42,Electronics,492.87
304,50,Female,78296,93,9,47,Electronics,559.16
305,32,Male,39407,50,6,13,Sports,844.22
306,48,Male,39407,82,5,27,Sports,463.07
307,26,Other,135530,81,2,12,Home & Garden,126.35
308,54,Female,76995,14,3,46,Electronics,685.09
309,64,Female,96182,44,4,8,Groceries,509.31
310,50,Male,100320,45,7,29,Sports,139.39
311,53,Male,138922,45,5,22,Electronics,154.06
312,30,Male,143200,38,8,30,Sports,684.43
313,69,Other,35218,47,4,33,Electronics,315.49
314,44,Male,141748,55,2,50,Groceries,897.57
315,68,Female,62971,27,8,17,Electronics,85.45
316,20,Female,57260,47,2,49,Electronics,506.7
317,18,Other,92363,84,1,10,Electronics,539.74
318,23,Other,84664,45,5,12,Electronics,592.72
319,61,Other,47790,67,9,5,Home & Garden,714.29
320,34,Male,31668,43,5,40,Clothing,117.01
321,43,Female,78858,4,3,38,Sports,261.19
322,46,Other,126553,16,2,22,Home & Garden,85.56
323,55,Other,80006,44,2,49,Clothing,727.51
324,30,Male,119162,15,9,38,Home & Garden,937.85
325,41,Other,71410,69,1,32,Home & Garden,456.67
326,59,Other,49020,100,2,42,Groceries,588.18
327,50,Male,36022,11,6,49,Clothing,801.59
328,41,Female,64634,55,9,44,Groceries,488.07
329,68,Other,76921,79,1,23,Groceries,122.02
330,28,Male,51087,60,4,42,Groceries,68.31
331,30,Male,90651,88,9,37,Groceries,555.41
332,38,Other,50518,70,1,38,Sports,816.09
333,21,Other,126598,14,3,1,Sports,505.98
334,58,Other,99475,27,9,9,Groceries,249.39
335,60,Male,145308,83,3,31,Groceries,53.26
336,40,Other,107488,96,7,16,Groceries,843.6
337,58,Male,60768,88,2,38,Groceries,67.52
338,42,Other,115381,70,7,33,Home & Garden,592.52
339,28,Female,111697,92,9,50,Sports,205.58
340,48,Other,30374,28,7,34,Groceries,463.78
341,31,Other,35406,45,10,9,Electronics,637.02
342,69,Female,71688,69,4,25,Clothing,532.23
343,32,Male,48445,91,8,27,Home & Garden,265.17
344,41,Male,136928,42,5,33,Home & Garden,239.72
345,33,Male,112118,27,10,9,Clothing,535.28
346,62,Female,114587,14,7,11,Electronics,26.72
347,38,Female,42378,36,5,20,Sports,279.77
348,39,Female,136141,58,6,30,Home & Garden,211.56
349,44,Male,32030,38,2,19,Sports,912.15
350,56,Female,148694,44,7,13,Electronics,326.5
351,68,Other,122661,16,4,48,Groceries,85.44
352,47,Female,54571,57,4,2,Electronics,138.3
353,61,Other,120516,100,10,47,Home & Garden,475.52
354,63,Other,37003,57,4,25,Sports,857.68
355,38,Other,81837,68,5,6,Sports,349.35
356,32,Other,94627,88,9,30,Clothing,703.94
357,49,Other,103191,34,5,41,Clothing,253.63
358,57,Male,137205,18,1,21,Electronics,862.12
359,50,Male,85888,19,2,25,Groceries,910.52
360,38,Male,40590,91,7,27,Electronics,617.64
361,28,Female,130938,98,5,37,Electronics,612.09
362,21,Male,107934,32,5,38,Home & Garden,533.18
363,26,Other,149741,51,4,37,Home & Garden,685.36
364,63,Other,145117,66,7,12,Sports,971.02
365,21,Other,90000,42,4,23,Home & Garden,278.15
366,19,Other,105019,84,8,32,Clothing,735.3
367,65,Female,65576,91,5,12,Clothing,782.55
368,53,Female,130474,74,10,39,Home & Garden,217.92
369,63,Other,77411,20,2,37,Sports,648.38
370,23,Female,30751,99,9,26,Electronics,696.9
371,20,Male,87520,93,4,3,Groceries,459.87
372,39,Female,53805,71,5,16,Sports,372.03
373,30,Other,80320,91,1,31,Electronics,930.97
374,64,Other,84380,69,10,28,Sports,212.08
375,33,Female,58367,11,4,29,Groceries,826.87
376,25,Female,56110,36,5,42,Electronics,389.97
377,46,Male,123037,100,1,9,Home & Garden,617.74
378,45,Female,110174,87,5,32,Home & Garden,388.15
379,41,Female,30074,95,8,19,Clothing,78.82
380,59,Other,140349,75,2,6,Sports,383.64
381,67,Female,104036,56,10,37,Sports,998.98
382,68,Other,93926,45,5,22,Electronics,19.14
383,65,Male,124796,4,5,38,Sports,247.96
384,46,Male,120914,1,1,41,Home & Garden,329.9
385,38,Male,78829,73,7,20,Sports,665.25
386,69,Male,105810,57,6,28,Groceries,985.94
387,51,Female,105658,49,9,9,Electronics,785.55
388,25,Female,100053,6,5,33,Electronics,832.57
389,34,Other,118622,99,4,47,Sports,122.21
390,37,Male,65343,89,3,2,Electronics,668.23
391,67,Female,101759,57,3,19,Sports,670.51
392,28,Male,59278,60,2,8,Home & Garden,362.41
393,55,Female,127542,79,8,12,Clothing,632.6
394,69,Female,74331,83,9,11,Clothing,341.63
395,69,Female,119075,40,8,44,Home & Garden,866.72
396,54,Other,87418,21,2,27,Groceries,846.76
397,23,Other,37713,11,8,31,Electronics,481.24
398,48,Male,36282,14,10,3,Sports,210.43
399,19,Female,69790,3,9,38,Groceries,596.63
400,41,Female,147962,90,2,9,Clothing,688.61
401,32,Other,86268,96,3,21,Electronics,643.36
402,63,Male,149062,66,9,7,Clothing,441.11
403,40,Other,127948,29,6,26,Groceries,144.78
404,36,Male,30121,39,10,16,Groceries,233.08
405,21,Male,42889,12,2,20,Home & Garden,789.92
406,29,Other,141369,42,10,16,Home & Garden,862.54
407,24,Other,119844,78,4,6,Groceries,572.31
408,40,Other,135305,54,8,29,Clothing,831.6
409,63,Female,70967,59,6,10,Home & Garden,954.05
410,20,Female,98213,12,5,37,Home & Garden,902.24
411,43,Female,89856,96,3,2,Clothing,114.47
412,61,Other,80988,34,8,14,Clothing,937.86
413,19,Female,105731,9,7,10,Home & Garden,421.08
414,69,Female,117737,6,4,9,Groceries,877.51
415,57,Male,52164,53,3,36,Groceries,710.84
416,38,Other,51327,62,5,24,Sports,645.43
417,52,Other,101105,11,9,2,Home & Garden,714.72
418,51,Female,97565,48,10,31,Clothing,656.9
419,64,Other,71594,40,4,42,Clothing,487.73
420,46,Male,60671,57,5,48,Home & Garden,817.69
421,46,Female,90871,56,4,39,Clothing,592.97
422,56,Other,36843,46,7,12,Home & Garden,22.15
423,62,Female,96260,30,6,45,Electronics,159.13
424,56,Male,134502,46,5,5,Groceries,394.49
425,41,Male,67039,100,1,36,Electronics,178.68
426,40,Other,142251,90,10,14,Electronics,866.52
427,47,Female,49336,11,10,11,Sports,877.17
428,54,Other,90780,24,3,46,Groceries,824.65
429,20,Male,49308,29,6,19,Electronics,351.64
430,64,Other,124369,74,2,3,Home & Garden,275.4
431,40,Male,99618,80,4,22,Groceries,15.04
432,29,Female,133291,52,4,42,Clothing,916.28
433,44,Female,100832,90,8,39,Electronics,769
434,57,Male,60668,66,6,28,Electronics,984.6
435,32,Female,69782,76,1,9,Home & Garden,803.28
436,52,Other,136827,87,5,20,Sports,322.29
437,48,Other,51565,44,5,20,Groceries,552.48
438,47,Female,95033,25,3,35,Electronics,273.38
439,63,Female,118402,74,3,12,Sports,828.04
440,23,Female,130546,71,9,36,Sports,799.33
441,46,Male,68970,50,9,46,Clothing,392.35
442,26,Female,84460,45,1,33,Clothing,219.67
443,47,Other,138199,79,10,43,Electronics,171.38
444,62,Other,59481,30,4,35,Clothing,121
445,62,Female,75974,68,4,46,Groceries,180.09
446,53,Male,56570,29,7,37,Electronics,432.65
447,27,Other,68689,83,8,33,Groceries,782.58
448,31,Female,46106,72,7,2,Sports,59.82
449,50,Male,46524,1,4,7,Home & Garden,371.62
450,48,Male,60382,13,3,27,Electronics,694.59
451,24,Other,147555,65,4,28,Groceries,434.84
452,45,Female,93800,33,10,32,Sports,391.45
453,30,Male,35565,83,8,17,Electronics,238.79
454,27,Male,143992,31,2,32,Home & Garden,994.1
455,28,Other,126571,82,10,8,Electronics,26.12
456,61,Other,57851,46,3,5,Clothing,604.29
457,30,Other,120083,47,1,49,Electronics,443.12
458,62,Male,32827,69,8,2,Groceries,468.37
459,30,Other,100399,96,2,5,Clothing,705.64
460,55,Female,105647,94,1,14,Sports,737.91
461,41,Male,141605,100,4,20,Home & Garden,693.02
462,57,Female,46563,86,4,24,Electronics,800.46
463,53,Male,37569,18,8,50,Clothing,634.92
464,65,Female,138529,87,10,14,Sports,461.61
465,54,Female,40858,48,6,20,Clothing,34.88
466,69,Other,143640,14,8,2,Clothing,387.39
467,25,Male,99668,1,1,50,Groceries,937.86
468,54,Male,32276,73,2,44,Clothing,554.58
469,32,Other,100736,84,10,32,Groceries,863.93
470,53,Other,139508,92,6,39,Clothing,172.99
471,32,Male,38683,59,10,47,Groceries,846.85
472,35,Other,42390,27,3,41,Electronics,781.31
473,53,Female,104435,42,4,34,Home & Garden,795.81
474,54,Female,111261,56,1,44,Groceries,216.09
475,36,Other,112674,12,7,35,Groceries,590.32
476,38,Male,144083,23,1,28,Groceries,158.15
477,42,Male,115342,19,4,47,Sports,13.69
478,48,Other,143424,24,3,22,Home & Garden,594.94
479,58,Female,137836,19,9,21,Electronics,172.39
480,19,Female,35529,62,4,24,Clothing,177.69
481,54,Male,105641,17,9,37,Sports,173.81
482,65,Other,120542,52,3,36,Clothing,70.22
483,44,Female,43069,55,6,33,Groceries,501.34
484,40,Male,61052,44,4,17,Groceries,135.19
485,65,Male,39113,85,9,42,Home & Garden,964.87
486,66,Other,91672,71,5,9,Clothing,10.4
487,22,Female,104781,64,8,38,Home & Garden,151.48
488,47,Other,124597,67,9,8,Clothing,885.33
489,26,Female,96845,19,1,5,Home & Garden,154.89
490,19,Female,113254,38,5,35,Clothing,633.5
491,22,Female,46900,70,1,24,Groceries,325.46
492,39,Male,84725,100,8,49,Sports,906.07
493,51,Female,120616,71,1,16,Clothing,542.03
494,35,Male,141134,24,4,48,Sports,649.61
495,59,Male,140809,45,5,45,Sports,917.5
496,33,Female,65486,76,2,11,Sports,302.05
497,56,Male,145254,48,6,43,Sports,422.32
498,54,Female,43308,56,5,50,Electronics,667.92
499,25,Male,33065,61,7,40,Groceries,317.98
