return_id,product_id,store_id,return_date,reason_category,customer_complaint,refund_amount
RET-001,1001,STR-003,2025-04-02,Damaged in Transit,"The steel beams arrived with visible bending and surface scratches across multiple pieces. The packaging was torn open on one side and it looked like the pallet shifted during transport. We cannot use these for the construction project and need immediate replacements.",324.00
RET-002,1012,STR-007,2025-04-10,Quality Issue,"The orange juice cartons we received have a strange off-color and faint metallic taste. Several customers reported the issue before we pulled them from shelves. The expiration dates are still months out so this seems like a production batch problem, not a freshness issue.",48.00
RET-003,1017,STR-015,2025-04-18,Defective,"Three out of five smart thermostats from this order will not power on at all. We tried different outlets and confirmed the wiring is correct. The LED display flickers briefly then goes dark. Appears to be a firmware or hardware defect from the factory.",264.00
RET-004,1029,STR-021,2025-04-25,Wrong Item,"We ordered warehouse scanner guns model WS-500 but received an older model WS-300 instead. The barcode on the shipping label matches our PO but the product inside the box is clearly wrong. We need the correct model urgently for our inventory count next week.",672.00
RET-005,1042,STR-009,2025-05-03,Quality Issue,"Multiple protein bar boxes arrived with bars that have melted and re-solidified, making them misshapen and sticky. The chocolate coating has bloomed white. These were likely stored or shipped at too high a temperature and are unsellable in this condition.",76.80
RET-006,1008,STR-012,2025-05-11,Defective,"The bearing assemblies are producing a grinding noise during rotation testing. We installed three units and all three failed quality checks within the first hour. The inner race appears to have machining defects visible under magnification.",312.00
RET-007,1023,STR-004,2025-05-19,Damaged in Transit,"The pallet wrap rolls were crushed during shipping. The outer boxes were completely flattened and the rolls inside are deformed and will not feed through our wrapping machine. The delivery driver noted the damage at the dock but it was too late.",40.80
RET-008,1035,STR-018,2025-05-27,Changed Mind,"We over-ordered high-vis vests for a seasonal project that got cancelled. We have 200 unopened vests in original packaging that we would like to return. They have never been worn and all tags are still attached. Requesting full refund as per your return policy.",1600.00
RET-009,1044,STR-002,2025-06-04,Defective,"The temperature loggers are reporting readings that are consistently 4-6 degrees Fahrenheit above actual temperatures. We verified with calibrated mercury thermometers. This is a critical issue for our cold chain compliance monitoring and these units cannot be deployed.",520.00
RET-010,1015,STR-025,2025-06-12,Quality Issue,"The olive oil has a rancid smell and bitter taste that is distinctly different from previous batches. Our kitchen staff noticed it immediately when opening the first bottle. We tested three bottles from the shipment and all have the same problem. Batch number is OO-2025-0312.",176.00
RET-011,1006,STR-008,2025-06-20,Damaged in Transit,"One hydraulic motor arrived with a cracked housing and visible oil leak. The crate had a forklift puncture mark through the side. The motor was not wrapped in protective foam inside the crate like the other unit in the same shipment which arrived intact.",544.00
RET-012,1033,STR-016,2025-06-28,Wrong Item,"We received ANSI Type I hard hats instead of the Type II we ordered. Type I does not provide lateral protection which is required at our construction sites per OSHA regulations. We cannot issue these to workers and need correct Type II models shipped immediately.",240.00
RET-013,1009,STR-022,2025-07-06,Defective,"Half the circuit boards in this batch have cold solder joints on the main processor chip. Our QA team caught this during incoming inspection. The affected boards will not boot and show erratic behavior on our test bench. We need replacements for production line continuity.",201.60
RET-014,1050,STR-011,2025-07-14,Quality Issue,"The frozen chicken breasts arrived partially thawed with ice crystals reformed on the surface indicating a break in the cold chain. Internal temperatures measured 28°F at delivery when they should be 0°F or below. We refused this shipment at the dock per food safety protocols.",448.00
RET-015,1026,STR-005,2025-07-22,Wrong Item,"We received forklift tires for a model 7000 series but our fleet is all model 5000. The bolt pattern and diameter are completely different. Someone at the warehouse must have mixed up the SKUs. We need the correct tires as two forklifts are currently down waiting for replacements.",896.00
RET-016,1036,STR-019,2025-07-30,Changed Mind,"Our facility switched to a different cleaning solution vendor after signing a new contract. We have 15 unopened 20-liter containers of your cleaning solution that we will not use. All containers are sealed and within shelf life. Requesting return authorization.",432.00
RET-017,1010,STR-013,2025-08-07,Defective,"The pneumatic valves are sticking in the closed position intermittently. We installed a batch of 10 and within the first week of operation, 7 have exhibited this fault. Our technicians suspect a tolerance issue with the internal spool. This is causing production line stoppages.",1064.00
RET-018,1021,STR-006,2025-08-15,Damaged in Transit,"An entire pallet of corrugated boxes was soaked through from water damage during shipping. The boxes are warped, delaminated, and have a musty smell suggesting prolonged moisture exposure. They are structurally compromised and cannot be used for packaging our products.",92.16
RET-019,1013,STR-020,2025-08-23,Quality Issue,"The frozen salmon fillets have a strong fishy odor that is not normal for fresh-frozen product. Several fillets also have noticeable discoloration around the edges suggesting freezer burn or improper initial freezing. Our chef refuses to serve these to customers.",280.00
RET-020,1030,STR-001,2025-08-31,Defective,"The conveyor belt section has a manufacturing defect where the belt tracking is off-center by about 2 inches and the tension adjustment will not correct it. The frame appears to be slightly warped on one side. This is a brand new unit that has never been used.",880.00
RET-021,1037,STR-014,2025-09-08,Wrong Item,"We ordered HVAC filters with MERV-13 rating but received MERV-8 filters instead. The boxes are labeled MERV-8 clearly. Our building requires MERV-13 minimum for air quality compliance. We need the correct filters before our next scheduled filter change on Monday.",153.60
RET-022,1002,STR-024,2025-09-16,Damaged in Transit,"The aluminum sheets arrived with deep scratches and dents on the surface. It appears the sheets were not properly separated with interleaving paper during packing. At least 6 out of 10 sheets are damaged beyond usable tolerance for our precision manufacturing process.",312.00
RET-023,1047,STR-010,2025-09-24,Defective,"The shrink wrap gun heats unevenly and creates air pockets in the wrap instead of a smooth seal. We tested it on multiple wrap gauges and the problem persists. The temperature dial seems to have no effect on output. Our packaging line is bottlenecked without a working unit.",200.00
RET-024,1014,STR-017,2025-10-02,Quality Issue,"The coffee beans are stale and have lost their aroma. When we ground a sample, the resulting coffee was flat and papery. The roast date printed on the bag is 8 months ago which seems too old for premium beans. Previous shipments were always roasted within the last 2 months.",57.60
RET-025,1046,STR-023,2025-10-10,Damaged in Transit,"The dock leveler pad was dropped during unloading and has a large crack running across the center. The delivery team tried to conceal it by placing it crack-side down but our receiving team caught it during inspection. This is a safety-critical item and cannot be used damaged.",288.00
RET-026,1019,STR-026,2025-10-18,Defective,"Two power supply units are emitting a high-pitched whining noise and one shut down after 30 minutes of operation with a burning smell. We immediately disconnected them. The third unit from the same order works fine. Possible capacitor or transformer defect in these two units.",121.60
RET-027,1004,STR-003,2025-10-26,Quality Issue,"The stainless steel pipes have visible rust spots on the interior surface which should not be possible with genuine 304-grade stainless steel. We tested with a magnet and it sticks, suggesting these may be regular carbon steel with a chrome coating instead of true stainless.",134.40
RET-028,1048,STR-028,2025-11-03,Changed Mind,"We upgraded all our first aid kits to a newer ANSI 2021 compliant version from another vendor. The 25 industrial first aid kits we ordered from you are the older ANSI 2015 standard. They are all unopened and unused. We would like to return them for a refund.",1400.00
RET-029,1011,STR-007,2025-11-11,Damaged in Transit,"Three bags of organic wheat flour arrived with tears in the packaging and flour spilling everywhere in the delivery truck. The remaining intact bags are contaminated with loose flour from the broken bags and cannot be sold. Warehouse team documented everything with photos.",172.80
RET-030,1043,STR-015,2025-11-19,Defective,"The smart lock modules will not pair with our building management system via Bluetooth. We followed the setup guide exactly and tried with three different BMS controllers. The locks show up in scan mode but fail authentication every time. Firmware version shows 1.2 but your docs say 2.0 is required.",201.60
RET-031,1027,STR-021,2025-11-27,Wrong Item,"The pallet jack we received is a narrow-aisle model with 20-inch forks, but we specifically ordered the standard model with 27-inch forks to fit our pallets. The wrong model will not lift our standard pallets safely. Our order confirmation clearly shows the standard model.",560.00
RET-032,1005,STR-009,2025-12-05,Quality Issue,"The carbon fiber panels have visible voids and delamination when held up to light. Our engineering team ran ultrasonic testing and found internal defects in 4 out of 6 panels. These are aerospace-grade panels and the defects make them structurally unacceptable for our application.",768.00
RET-033,1040,STR-012,2025-12-13,Defective,"Half the replacement light bulbs in the 12-pack are flickering at a noticeable frequency. We tested them in multiple fixtures to rule out electrical issues. The non-flickering bulbs from the same pack work fine, so this appears to be a manufacturing inconsistency in this batch.",14.40
RET-034,1016,STR-004,2025-12-21,Damaged in Transit,"Two LED panel lights were shattered during shipping. The boxes had no internal padding or corner protection. The panels are glass-faced and extremely fragile but were packed with just a single layer of bubble wrap. The third panel survived but has a cracked corner.",89.60
RET-035,1022,STR-018,2025-12-29,Changed Mind,"Our warehouse is being reorganized and the new layout will not require bubble wrap as we are switching to air pillow packaging. We have 30 unopened rolls of bubble wrap that are surplus to our needs. All rolls are factory sealed and in perfect condition.",720.00
RET-036,1038,STR-002,2026-01-06,Quality Issue,"The epoxy floor coating is not curing properly. We applied it per the instructions at recommended temperature and humidity but after 72 hours it is still tacky and soft. Previous batches from you cured within 24 hours. We suspect this batch may have been stored improperly or is past its effective shelf life.",216.00
RET-037,1007,STR-025,2026-01-14,Defective,"The servo controller displays error code E-47 immediately on startup and will not initialize. We tried resetting to factory defaults and updating firmware but the error persists. Our automation engineer believes the main control board may have a fault. We need a working replacement urgently.",296.00
RET-038,1034,STR-016,2026-01-22,Wrong Item,"We ordered size 10 steel toe boots but received size 12. The packing slip says size 10 but the boots are clearly marked size 12 inside. We have workers waiting for proper safety footwear to start their shift assignments on the new project next week.",208.00
RET-039,1020,STR-022,2026-01-30,Damaged in Transit,"The USB-C cable bundle packaging was ripped open and several cables are kinked with bent connectors. It looks like something heavy was placed on top of the package during shipping. We tested the damaged cables and 4 out of 10 do not establish a data connection.",12.80
RET-040,1049,STR-008,2026-02-07,Defective,"The warehouse rack section has misaligned bolt holes on the left upright beam. The holes are off by approximately 3mm which prevents the cross beams from seating properly. We attempted assembly three times with different cross beams to confirm it is the upright that is defective.",352.00
